	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
6539	6540.0	3	L1: KF692089; L2: KF692090; L3: KF692091; M1: KF692092; M2: KF692093; M3: KF692094; S1: KF692095; S2: KF692096; S3: KF692097; S4: KF692098	Neoavian orthoreovirus	Complete genome	Orthoreovirus
6568	6569.0	2	EF206691	Avihepevirus magniiecur	Coding-complete genome	Avihepevirus
6569	6570.0	3	GU954430	Avihepevirus magniiecur	Complete genome	Avihepevirus
6570	6571.0	4	JN597006	Avihepevirus magniiecur	Complete genome	Avihepevirus
6576	6577.0	2	L08816	Paslahepevirus balayani	Coding-complete genome	Paslahepevirus
6577	6578.0	3	KX578717	Paslahepevirus balayani	Partial genome	Paslahepevirus
6578	6579.0	4	AF082843	Paslahepevirus balayani	Coding-complete genome	Paslahepevirus
6579	6580.0	5	EF077630	Paslahepevirus balayani	Complete genome	Paslahepevirus
6580	6581.0	6	AB573435	Paslahepevirus balayani	Coding-complete genome	Paslahepevirus
6581	6582.0	7	AB602441	Paslahepevirus balayani	Coding-complete genome	Paslahepevirus
6582	6583.0	8	KJ496143	Paslahepevirus balayani	Complete genome	Paslahepevirus
6583	6584.0	9	KX387865	Paslahepevirus balayani	Complete genome	Paslahepevirus
6586	6587.0	2	KM516906	Rocahepevirus ratti	Complete genome	Rocahepevirus
6587	6588.0	3	LC057247	Rocahepevirus ratti	Complete genome	Rocahepevirus
6588	6589.0	4	JN998606	Rocahepevirus ratti	Complete genome	Rocahepevirus
6591	6592.0	2	M15240	Rubivirus rubellae	Complete genome	Rubivirus
6597	6598.0	2	RNA1: MW888424; RNA2: MW888423; RNA3: MW888422	Anulavirus GLPV	Complete genome	Anulavirus
6742	6743.0	2	KP003813	Chikungunya virus	Partial genome	Alphavirus
6747	6748.0	2	HM147986	Fort Morgan virus	Complete genome	Alphavirus
6749	6750.0	2	AB032553	Getah virus	Complete genome	Alphavirus
6750	6751.0	3	EF011023	Getah virus	Complete genome	Alphavirus
6753	6754.0	2	KJ469640	Madariaga virus	Complete genome	Alphavirus
6754	6755.0	3	EF151503	Madariaga virus	Complete genome	Alphavirus
6757	6758.0	2	EF536323	Middelburg virus	Coding-complete genome	Alphavirus
6762	6763.0	2	M20303	Onyong-nyong virus	Complete genome	Alphavirus
6763	6764.0	3	AF079457	Onyong-nyong virus	Complete genome	Alphavirus
6767	6768.0	2	M20162	Ross River virus	Complete genome	Alphavirus
6770	6771.0	2	JF972635	Semliki Forest virus	Partial genome	Alphavirus
6772	6773.0	2	M69205	Sindbis virus	Complete genome	Alphavirus
6773	6774.0	3	HM147984	Sindbis virus	Complete genome	Alphavirus
6774	6775.0	4	AF103728	Sindbis virus	Complete genome	Alphavirus
6775	6776.0	5	AF429428	Sindbis virus	Complete genome	Alphavirus
6779	6780.0	2	AF252265	Trocara virus	Partial genome	Alphavirus
6781	6782.0	2	U94603	Una virus	Partial genome	Alphavirus
6783	6784.0	2	AF375051	Venezuelan equine encephalitis virus	Complete genome	Alphavirus
6784	6785.0	3	L00930	Venezuelan equine encephalitis virus	Complete genome	Alphavirus
6785	6786.0	4	U34999	Venezuelan equine encephalitis virus	Complete genome	Alphavirus
6786	6787.0	5	AF075255	Venezuelan equine encephalitis virus	Complete genome	Alphavirus
6788	6789.0	2	AF214040	Western equine encephalitis virus	Complete genome	Alphavirus
6792	6793.0	2	RNA1: AJ749658; RNA2: AJ749657 	Japanese soil-borne wheat mosaic virus	Partial genome	Furovirus
6874	6875.0	2	AJ316085	Asparagus virus 3	Complete genome	Potexvirus
7113	7114.0	2	M62321	Hepacivirus hominis	Complete genome	Hepacivirus
7114	7115.0	3	D90208	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7115	7116.0	4	D00944	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7116	7117.0	5	D10988	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7117	7118.0	6	D17763	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7118	7119.0	7	D63821	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7119	7120.0	8	GU814265	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7120	7121.0	9	Y13184	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7121	7122.0	10	Y12083	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7122	7123.0	11	D63822	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7123	7124.0	12	EF108306	Hepacivirus hominis	Coding-complete genome	Hepacivirus
7131	7132.0	2	KX905133	Hepacivirus ratti	Complete genome	Hepacivirus
7136	7137.0	2	AF013362	Orthoflavivirus aroaense	Partial genome	Orthoflavivirus
7137	7138.0	3	AF013366	Orthoflavivirus aroaense	Partial genome	Orthoflavivirus
7138	7139.0	4	AF013375	Orthoflavivirus aroaense	Partial genome	Orthoflavivirus
7139	7140.0	5	AF013390	Orthoflavivirus aroaense	Partial genome	Orthoflavivirus
7150	7151.0	2	U88536	Orthoflavivirus denguei	Complete genome	Orthoflavivirus
7151	7152.0	3	M93130	Orthoflavivirus denguei	Complete genome	Orthoflavivirus
7152	7153.0	4	AF326573	Orthoflavivirus denguei	Complete genome	Orthoflavivirus
7155	7156.0	2	X07755	Orthoflavivirus encephalitidis	Partial genome	Orthoflavivirus
7156	7157.0	3	L40361	Orthoflavivirus encephalitidis	Complete genome	Orthoflavivirus
7158	7159.0	2	AF013405	Orthoflavivirus entebbeense	Partial genome	Orthoflavivirus
7162	7163.0	2	AF013397	Orthoflavivirus ilheusense	Partial genome	Orthoflavivirus
7170	7171.0	2	AF013407	Orthoflavivirus kokoberaorum	Partial genome	Orthoflavivirus
7173	7174.0	2	AF331718	Orthoflavivirus kyasanurense	Complete genome	Orthoflavivirus
7177	7178.0	2	D12937	Orthoflavivirus loupingi	Partial genome	Orthoflavivirus
7178	7179.0	3	X86784	Orthoflavivirus loupingi	Partial genome	Orthoflavivirus
7179	7180.0	4	DQ235152	Orthoflavivirus loupingi	Coding-complete genome	Orthoflavivirus
7180	7181.0	5	DQ235151	Orthoflavivirus loupingi	Coding-complete genome	Orthoflavivirus
7181	7182.0	6	DQ235153	Orthoflavivirus loupingi	Coding-complete genome	Orthoflavivirus
7186	7187.0	2	AF013360	Orthoflavivirus murrayense	Partial genome	Orthoflavivirus
7188	7189.0	2	D00246	Orthoflavivirus nilense	Complete genome	Orthoflavivirus
7193	7194.0	2	AF013369	Orthoflavivirus phnompenhense	Partial genome	Orthoflavivirus
7195	7196.0	2	AF311056	Orthoflavivirus powassanense	Coding-complete genome	Orthoflavivirus
7198	7199.0	2	DQ859067	Orthoflavivirus saboyaense	Coding-complete genome	Orthoflavivirus
7210	7211.0	2	KY766069	Orthoflavivirus zikaense	Complete genome	Orthoflavivirus
7211	7212.0	3	KJ776791	Orthoflavivirus zikaense	Complete genome	Orthoflavivirus
7212	7213.0	4	KX377337	Orthoflavivirus zikaense	Complete genome	Orthoflavivirus
7218	7219.0	2	U63715	Pegivirus hominis	Coding-complete genome	Pegivirus
7219	7220.0	3	AB003289	Pegivirus hominis	Coding-complete genome	Pegivirus
7220	7221.0	4	U45966	Pegivirus hominis	Complete genome	Pegivirus
7221	7222.0	5	AY196904	Pegivirus hominis	Complete genome	Pegivirus
7222	7223.0	6	D87713	Pegivirus hominis	Complete genome	Pegivirus
7223	7224.0	7	AB021287	Pegivirus hominis	Coding-complete genome	Pegivirus
7224	7225.0	8	AY949771	Pegivirus hominis	Coding-complete genome	Pegivirus
7225	7226.0	9	AB003292	Pegivirus hominis	Coding-complete genome	Pegivirus
7226	7227.0	10	AF070476	Pegivirus hominis	Complete genome	Pegivirus
7229	7230.0	2	U94421	Pegivirus platyrrhini	Complete genome	Pegivirus
7231	7232.0	2	GU566735	Pegivirus pteropi	Partial genome	Pegivirus
7239	7240.0	2	M31182	Pestivirus bovis	Complete genome	Pestivirus
7255	7256.0	2	U18059	Pestivirus tauri	Complete genome	Pestivirus
7259	7260.0	2	RNA1: JF461541; RNA2: JF461542	Flock House virus	Complete genome	Alphanodavirus
7260	7261.0	3	RNA1: EF690537; RNA2: EF690538	Flock House virus	Complete genome	Alphanodavirus
7261	7262.0	4	RNA1: GQ342965; RNA2: GQ342966	Flock House virus	Complete genome	Alphanodavirus
7263	7264.0	2	RNA2: X15961	Nodamura virus	Partial genome	Alphanodavirus
7266	7267.0	2	RNA1: EF433472; RNA2: EF433468	Barfin flounder nervous necrosis virus	Complete genome	Betanodavirus
7267	7268.0	3	RNA1: AJ401165	Barfin flounder nervous necrosis virus	Partial genome	Betanodavirus
7268	7269.0	4	RNA2: AJ245641	Barfin flounder nervous necrosis virus	Partial genome	Betanodavirus
7270	7271.0	2	RNA1: AY721616; RNA2: AY721615	Redspotted grouper nervous necrosis virus	Complete genome	Betanodavirus
7271	7272.0	3	RNA1: AF319555; RNA2: AF318942	Redspotted grouper nervous necrosis virus	Complete genome	Betanodavirus
7272	7273.0	4	RNA1: FJ748760	Redspotted grouper nervous necrosis virus	Partial genome	Betanodavirus
7273	7274.0	5	RNA2: D38527	Redspotted grouper nervous necrosis virus	Partial genome	Betanodavirus
7274	7275.0	6	RNA2: AF245003	Redspotted grouper nervous necrosis virus	Partial genome	Betanodavirus
7275	7276.0	7	RNA2: Y08700	Redspotted grouper nervous necrosis virus	Partial genome	Betanodavirus
7276	7277.0	8	RNA2: EF591371	Redspotted grouper nervous necrosis virus	Partial genome	Betanodavirus
7278	7279.0	2	RNA1: FJ803911; RNA2: FJ803923	Striped jack nervous necrosis virus	Complete genome	Betanodavirus
7279	7280.0	3	RNA2: AJ698113	Striped jack nervous necrosis virus	Partial genome	Betanodavirus
7350	7351.0	2	AY100482	Tombusvirus melongenae	Complete genome	Tombusvirus
7351	7352.0	3	DQ011234	Tombusvirus melongenae	Complete genome	Tombusvirus
7352	7353.0	4	AM711119	Tombusvirus melongenae	Complete genome	Tombusvirus
7354	7355.0	2	JN700748	Tombusvirus moroccoense	Complete genome	Tombusvirus
8411	8412.0	2	MN599068 	Botoulivirus gammabotrytidis	Coding-complete genome	Botoulivirus
8432	8433.0	2	MN532617	Cladosporium magoulivirus 1	Coding-complete genome	Magoulivirus
8433	8434.0	3	MN532619	Cladosporium magoulivirus 1	Coding-complete genome	Magoulivirus
8435	8436.0	2	MN532615	Cladosporium magoulivirus 2	Coding-complete genome	Magoulivirus
8439	8440.0	2	MN605474	Magoulivirus alphabotrytidis	Coding-complete genome	Magoulivirus
8476	8477.0	2	MN532618	Phaeoacremonium magoulivirus	Coding-complete genome	Magoulivirus
8477	8478.0	3	MN532620	Phaeoacremonium magoulivirus	Coding-complete genome	Magoulivirus
8505	8506.0	2	MN532673	Phaeoacremonium penoulivirus	Coding-complete genome	Penoulivirus
8510	8511.0	2	MN605475	Sclerotinia penoulivirus	Complete genome	Penoulivirus
8541	8542.0	2	MN532652	Soybean scleroulivirus 2	Coding-complete genome	Scleroulivirus
8584	8585.0	2	KM817600	Mivirus dermacentoris	Complete genome	Mivirus
8629	8630.0	2	JX065207	Orthobornavirus alphapsittaciforme	Complete coding genome	Orthobornavirus
8630	8631.0	3	EU781967	Orthobornavirus alphapsittaciforme	Complete genome	Orthobornavirus
8631	8632.0	4	FJ169440	Orthobornavirus alphapsittaciforme	Partial genome	Orthobornavirus
8632	8633.0	5	JX065210	Orthobornavirus alphapsittaciforme	Complete genome	Orthobornavirus
8634	8635.0	2	KJ756399	Orthobornavirus avisaquaticae	Complete coding genome	Orthobornavirus
8637	8638.0	2	AJ311524	Orthobornavirus bornaense	Complete genome	Orthobornavirus
8639	8640.0	2	BK014571	Orthobornavirus caenophidiae	Complete genome	Orthobornavirus
8644	8645.0	2	KC464478	Orthobornavirus serini	Complete coding genome	Orthobornavirus
8645	8646.0	3	KC595273	Orthobornavirus serini	Complete coding genome	Orthobornavirus
8656	8657.0	2	DQ447649	Orthomarburgvirus marburgense	Complete coding genome	Orthomarburgvirus
8696	8697.0	2	MT646378	Botrytimonavirus alphabotrytidis	Partial genome	Botrytimonavirus
8698	8699.0	2	MT646406	Botrytimonavirus botrytidis	Partial genome	Botrytimonavirus
8701	8702.0	2	KP900931	Botrytimonavirus sclerotiniae	Complete coding genome	Botrytimonavirus
8702	8703.0	3	MF444282	Botrytimonavirus sclerotiniae	Partial genome	Botrytimonavirus
8703	8704.0	4	KP900930	Botrytimonavirus sclerotiniae	Complete coding genome	Botrytimonavirus
8717	8718.0	2	MN556997	Penicillimonavirus betaplasmoparae	Partial genome	Penicillimonavirus
8732	8733.0	2	MT646386	Sclerotimonavirus alphabotrytidis	Partial genome	Sclerotimonavirus
8734	8735.0	2	JW826636	Sclerotimonavirus alphaclarireediae	Partial genome	Sclerotimonavirus
8742	8743.0	2	MF444285	Sclerotimonavirus botrytidis	Complete coding genome	Sclerotimonavirus
8745	8746.0	2	MF276904	Sclerotimonavirus fusarii	Complete genome	Sclerotimonavirus
8749	8750.0	2	MF444277	Sclerotimonavirus sclerotiniae	Partial genome	Sclerotimonavirus
8750	8751.0	3	KC601997	Sclerotimonavirus sclerotiniae	Complete coding genome	Sclerotimonavirus
8751	8752.0	4	MF444280	Sclerotimonavirus sclerotiniae	Complete coding genome	Sclerotimonavirus
8844	8845.0	2	AB543337	Orthorubulavirus hominis	Complete genome	Orthorubulavirus
8892	8893.0	2	KM205003	Barhavirus bahia	Complete genome	Barhavirus
8911	8912.0	2	JQ941707	Ephemerovirus kimberley	Complete genome	Ephemerovirus
8986	8987.0	2	KC608035	Perhabdovirus anguilla	Partial genome	Perhabdovirus
9018	9019.0	2	MH319839	Siniperhavirus chuatsi	Complete genome	Siniperhavirus
9019	9020.0	3	KC519324	Siniperhavirus chuatsi	Complete genome	Siniperhavirus
9020	9021.0	4	MK397811	Siniperhavirus chuatsi	Complete genome	Siniperhavirus
9024	9025.0	2	KC113518	Sprivivirus esox	Complete genome	Sprivivirus
9025	9026.0	3	KC113517	Sprivivirus esox	Complete genome	Sprivivirus
9059	9060.0	2	KP688373	Tibrovirus tibrogargan	Complete genome	Tibrovirus
9084	9085.0	2	MN607593	Vesiculovirus rhinolophus	Complete coding genome	Vesiculovirus
9097	9098.0	2	AB516283	Alphanucleorhabdovirus oryzae	Complete genome	Alphanucleorhabdovirus
9136	9137.0	2	MK159261	Cytorhabdovirus fragariae	Complete genome	Cytorhabdovirus
9218	9219.0	2	L: MK611981; M: MK611979; S: MK611980	Antennavirus salmonis	Complete coding genome	Antennavirus
9222	9223.0	2	L: MH483042; S: MH483041	Hartmanivirus haartmani	Complete coding genome	Hartmanivirus
9227	9228.0	2	L: MH483030; S: MH483029	Hartmanivirus scholae	Complete coding genome	Hartmanivirus
9229	9230.0	2	L: MH483044; S: MH483043	Hartmanivirus turici	Complete coding genome	Hartmanivirus
9243	9244.0	2	L: EU136039; S: EU136038	Mammarenavirus choriomeningitidis	Complete genome	Mammarenavirus
9259	9260.0	2	L: AB972431; S: AB972430	Mammarenavirus lunaense	Complete genome	Mammarenavirus
9265	9266.0	2	L: EU914104; S: EU914103	Mammarenavirus mopeiaense	Complete genome	Mammarenavirus
9277	9278.0	2	L: EU938665; S: EF619035	Mammarenavirus whitewaterense	Partial genome	Mammarenavirus
9278	9279.0	3	S: JX237768	Mammarenavirus whitewaterense	Partial genome	Mammarenavirus
9279	9280.0	4	L: EU938659; S: EU123328	Mammarenavirus whitewaterense	Partial genome	Mammarenavirus
9280	9281.0	5	L: EU938663; S: EF619034	Mammarenavirus whitewaterense	Partial genome	Mammarenavirus
9286	9287.0	2	L: KR870029; S: KR870015	Reptarenavirus giessenae	Complete genome	Reptarenavirus
9287	9288.0	3	L: KR870023; S: KR870013	Reptarenavirus giessenae	Complete genome	Reptarenavirus
9289	9290.0	2	L: KF297881; S: KF297880	Reptarenavirus rotterdamense	Complete genome	Reptarenavirus
9294	9295.0	2	MN585282; MT258648; MT258649	Orthodiscovirus coniellae	Complete coding genome	Orthodiscovirus
9336		2	L: KY662266; M: KY662265; S: KY662264 	Mobatvirus laibinense	Complete genome	Mobatvirus
9339		2	L: KY780088; M: KY780087; S: KY780086 	Mobatvirus novaense	Complete genome	Mobatvirus
9342		2	M: OQ466078; S: OQ466086	Mobatvirus xuansonense	Partial genome	Mobatvirus
9344	9342.0	2	L: KF581136; M: KF581135; S: KF581134 	Orthohantavirus andesense	Partial genome	Orthohantavirus
9345	9343.0	3	M: AF028022; S: AF482714	Orthohantavirus andesense	Partial genome	Orthohantavirus
9346	9344.0	4	M: AF028024; S: AF482715	Orthohantavirus andesense	Partial genome	Orthohantavirus
9350	9348.0	2	L: FJ858378; M: DQ177347; S: DQ256126 	Orthohantavirus bayoui	Complete genome	Orthohantavirus
9354	9352.0	2	L: JX465377; M: JX465395; S: JX465411 	Orthohantavirus caobangense	Partial genome	Orthohantavirus
9356		2	L: OR365538 ; M: OR365537; S: OR365536	Orthohantavirus chocloense	Complete genome	Orthohantavirus
9358	9354.0	2	L: JF796043; M: JF796036; S: JF796022	Orthohantavirus dabieshanense	Partial genome	Orthohantavirus
9361	9357.0	2	M: GQ303582	Orthohantavirus dobravaense	Partial genome	Orthohantavirus
9362	9358.0	3	L: AJ410618	Orthohantavirus dobravaense	Partial genome	Orthohantavirus
9363	9359.0	4	L: JF920148; M: JF920149; S: JF920150	Orthohantavirus dobravaense	Complete genome	Orthohantavirus
9364		5	L: GU904041; M: GU904034; S: GU904028	Orthohantavirus dobravaense	Complete coding genome	Orthohantavirus
9368	9363.0	2	L: KC136242; M: KC136243; S: KC136244	Orthohantavirus hantanense	Complete genome	Orthohantavirus
9369	9364.0	3	L: DQ056292; M: AY675353; S: AY675349	Orthohantavirus hantanense	Complete genome	Orthohantavirus
9370		4	L: OR700523; M: OR700530; S: OR700537	Orthohantavirus hantanense	Complete coding genome	Orthohantavirus
9372		2	L: MN295687; M: MN295685; S: MN295683	Orthohantavirus jejuense	Complete genome	Orthohantavirus
9375	9368.0	2	L: AJ011649; M: AJ011647; S: AJ011646	Orthohantavirus khabarovskense	Partial genome	Orthohantavirus
9376		3	L: KJ857311; M: KJ857340; S: KJ857344	Orthohantavirus khabarovskense	Complete coding genome	Orthohantavirus
9381	9373.0	2	L: AB620105; M: AB620104; S: AB620103	Orthohantavirus moroense	Complete genome	Orthohantavirus
9382	9374.0	3	L: AB620108; M: AB620107; S: AB620106	Orthohantavirus moroense	Complete genome	Orthohantavirus
9385	9377.0	2	L: JQ611713; M: JQ611714; S: JQ611712 	Orthohantavirus negraense	Complete genome	Orthohantavirus
9386	9378.0	3	L: FJ809772; M: FJ608550; S: FJ532244 	Orthohantavirus negraense	Complete genome	Orthohantavirus
9391	9383.0	2	L: AB712372; M: AB676848; S: AB675463	Orthohantavirus puumalaense	Complete genome	Orthohantavirus
9392	9384.0	3	L: JX028271; M: JX028272; S: JX028273	Orthohantavirus puumalaense	Complete genome	Orthohantavirus
9393		4	L: MN832782; M: MN832783; S: MN832784	Orthohantavirus puumalaense		Orthohantavirus
9399	9390.0	2	M: KC344269; S: KC344252	Orthohantavirus seoulense	Partial genome	Orthohantavirus
9400		3	L: OP946511; M: OP946510; S: OP946509	Orthohantavirus seoulense	Complete coding genome	Orthohantavirus
9402	9392.0	2	M: U36801; S: U09488	Orthohantavirus sinnombreense	Partial genome	Orthohantavirus
9403		3	L: L25782; M: L25783; S: L25784	Orthohantavirus sinnombreense	Partial genome	Orthohantavirus
9406	9395.0	2	L: AM998806; M: AM998807; S: AM998808	Orthohantavirus thailandense	Partial genome	Orthohantavirus
9407	9396.0	3	M: L08756	Orthohantavirus thailandense	Partial genome	Orthohantavirus
9408		4	L: MZ343362; M: MZ343361; S: MZ343360	Orthohantavirus thailandense	Complete coding genome	Orthohantavirus
9411	9399.0	2	L: KP013556; M: KP013579; S: KP013568	Orthohantavirus tulaense	Partial genome	Orthohantavirus
9414		2	L: EF641806; M: EF641798; S: EF641804	Thottimvirus imjinense	Complete coding genome	Thottimvirus
9416		2	L: KJ420568; M: KJ420542; S: KJ420560	Thottimvirus thottapalayamense	Complete coding genome	Thottimvirus
9430		2	L: KU925446; M: KU925447; S: KU925448	Orthonairovirus bandiaense	Complete coding genome	Orthonairovirus
9433	9418.0	2	L: KP792708; M: KP792709; S: KP792710	Orthonairovirus bushkeyense	Complete coding genome	Orthonairovirus
9434	9419.0	3	L: KU925467; M: KU925468; S: KU925469	Orthonairovirus bushkeyense	Complete genome	Orthonairovirus
9435	9420.0	4	L: KU925470; M: KU925471; S: KU925472	Orthonairovirus bushkeyense	Complete genome	Orthonairovirus
9436	9421.0	5	L: KU925479; M: KU925480; S: KU925481	Orthonairovirus bushkeyense	Complete coding genome	Orthonairovirus
9439		2	L: KU343139; M: KU343140; S: KU343141	Orthonairovirus clomorense	Partial genome	Orthonairovirus
9452	9436.0	2	L: KP792741; M: KP792742; S: KP792743	Orthonairovirus keterehense	Complete coding genome	Orthonairovirus
9461	9445.0	2	L: KP792714; M: KP792715; S: KP792716	Orthonairovirus qalyubense	Complete coding genome	Orthonairovirus
9463		2	L: KU925485; M: KU925486; S: KU925487	Orthonairovirus randallense	Complete genome	Orthonairovirus
9465	9448.0	2	L: KU925494; M: KU925495; S: KU925496	Orthonairovirus sakhalinense	Complete genome	Orthonairovirus
9472		2	L: MK757580; M: MK757581; S: MK757582	Orthonairovirus tomdiense	Complete coding genome	Orthonairovirus
9478		2	L: KU925500	Orthonairovirus zirkuense	Partial genome	Orthonairovirus
9491	9472.0	2	L: MK896620; M: MK896619; S: MK896618	Orthobunyavirus acaraense	Complete genome	Orthobunyavirus
9493	9474.0	2	L: KY555808; M: KY555809; S: KY555810	Orthobunyavirus achiotei	Complete genome	Orthobunyavirus
9496	9477.0	2	L: MH484339; M: MH484340; S: MH484341	Orthobunyavirus akabaneense	Complete genome	Orthobunyavirus
9504	9485.0	2		Orthobunyavirus bakauense	No entry in Genbank	Orthobunyavirus
9510	9491.0	2	L: MK896641; M: MK896640; S: MK896639	Orthobunyavirus bellavistaense	Complete genome	Orthobunyavirus
9511	9492.0	3	L: MK896629; M: MK896628; S: MK896627	Orthobunyavirus bellavistaense	Complete genome	Orthobunyavirus
9512	9493.0	4	L: MK896480; M: MK896479; S: MK896478	Orthobunyavirus bellavistaense	Complete genome	Orthobunyavirus
9515	9496.0	2	L: MK896591 ; M: MK896590; S: MK896589	Orthobunyavirus bertiogaense	Complete genome	Orthobunyavirus
9524	9505.0	2	L: KF234253; M: KF234254; S: KF234255	Orthobunyavirus buffaloense	Complete genome	Orthobunyavirus
9525	9506.0	3	L: KR013235; M: KR013236; S: KR013237	Orthobunyavirus buffaloense	Complete genome	Orthobunyavirus
9527	9508.0	2	M: M21951; S: M19420	Orthobunyavirus bunyamweraense	Partial genome	Orthobunyavirus
9528	9509.0	3	L: AY593726; M: AY593731; S: AY593727	Orthobunyavirus bunyamweraense	Partial genome	Orthobunyavirus
9529	9510.0	4	L: KC608152; M: KC608153; S: KC608154	Orthobunyavirus bunyamweraense	Complete genome	Orthobunyavirus
9530	9511.0	5		Orthobunyavirus bunyamweraense	No entry in Genbank	Orthobunyavirus
9531	9512.0	6	S: EU564830	Orthobunyavirus bunyamweraense	Partial genome	Orthobunyavirus
9533	9514.0	2	L: MK896521; M: MK896520; S: MK896519	Orthobunyavirus bushbushense	Complete genome	Orthobunyavirus
9536	9517.0	2	L: KJ867178; M: KJ867177; S: EU564828	Orthobunyavirus bwambaense	Complete genome	Orthobunyavirus
9538	9519.0	2	L: JN808311; M: JN808310; S: EU879062	Orthobunyavirus cacheense	Partial genome	Orthobunyavirus
9539	9520.0	3	L: KX100120; M: KX100119; S: KX100118	Orthobunyavirus cacheense	Complete genome	Orthobunyavirus
9540	9521.0	4	L: KX100129; M: KX100128; S: KX100127	Orthobunyavirus cacheense	Complete genome	Orthobunyavirus
9543	9524.0	2	L: KT334540	Orthobunyavirus caraparuense	Partial genome	Orthobunyavirus
9544	9525.0	3	L: KM092512; M: KM092513; S: KM092514	Orthobunyavirus caraparuense	Complete genome	Orthobunyavirus
9545	9526.0	4	S: DQ188954	Orthobunyavirus caraparuense	Partial genome	Orthobunyavirus
9546	9527.0	5	L: MG029275; M: MG029276; S: MG029277	Orthobunyavirus caraparuense	Complete genome	Orthobunyavirus
9548	9529.0	2	L: JX983194; M: JX983193; S: JX983192	Orthobunyavirus catqueense	Complete genome	Orthobunyavirus
9550	9531.0	2	L: KP792675; M: KP792674; S: KP792673	Orthobunyavirus catuense	Complete genome	Orthobunyavirus
9554	9535.0	2	S: U31989	Orthobunyavirus encephalitidis	Partial genome	Orthobunyavirus
9558	9539.0	2		Orthobunyavirus gamboaense	No entry in Genbank	Orthobunyavirus
9559	9540.0	3	L: KM272183; M: KM272184; S: KM272185	Orthobunyavirus gamboaense	Complete genome	Orthobunyavirus
9560	9541.0	4	L: KM272186; M: KM272187; S: KM272188	Orthobunyavirus gamboaense	Complete genome	Orthobunyavirus
9561	9542.0	5		Orthobunyavirus gamboaense	No entry in Genbank	Orthobunyavirus
9563	9544.0	2	L: KF234256; M: KF234257; S: KF234258	Orthobunyavirus ganganense	Partial genome	Orthobunyavirus
9566	9547.0	2	L: KP792657; M: KP792656; S: KP792655	Orthobunyavirus guamaense	Complete genome	Orthobunyavirus
9568	9549.0	2	L: MK896557; M: MK896556; S: MK896555	Orthobunyavirus guaratubaense	Complete genome	Orthobunyavirus
9573	9554.0	2		Orthobunyavirus horizonteense	No entry in Genbank	Orthobunyavirus
9574	9555.0	3		Orthobunyavirus horizonteense	No entry in Genbank	Orthobunyavirus
9575	9556.0	4		Orthobunyavirus horizonteense	No entry in Genbank	Orthobunyavirus
9576	9557.0	5		Orthobunyavirus horizonteense	No entry in Genbank	Orthobunyavirus
9583	9564.0	2	L: EU789573; M: U88059; S: U47137	Orthobunyavirus jamestownense	Complete genome	Orthobunyavirus
9584	9565.0	3	L: KX817318; M: KX817319; S: KX817320	Orthobunyavirus jamestownense	Complete genome	Orthobunyavirus
9585	9566.0	4	L: KX817336; M: KX817337; S: KX817338	Orthobunyavirus jamestownense	Complete genome	Orthobunyavirus
9590	9571.0	2	L: MG828823; M: MG820264; S: MG696865	Orthobunyavirus kernense	Complete genome	Orthobunyavirus
9591	9572.0	3	L: MH484324; M: MH484325; S: MH484326	Orthobunyavirus kernense	Complete genome	Orthobunyavirus
9595	9576.0	2	L: HQ734817; M: HQ734821; S: HQ734824	Orthobunyavirus khatangaense	Complete genome	Orthobunyavirus
9597	9578.0	2	L: MK896432; M: MK896431; S: MK896430	Orthobunyavirus koongoli	Complete genome	Orthobunyavirus
9607	9588.0	2	L: MK896441; M: MK896440; S: MK896439	Orthobunyavirus madridense	Complete genome	Orthobunyavirus
9611	9592.0	2		Orthobunyavirus manzanillaense	No entry in Genbank	Orthobunyavirus
9614	9595.0	2		Orthobunyavirus maritubaense	No entry in Genbank	Orthobunyavirus
9619	9600.0	2		Orthobunyavirus minatitlanense	No entry in Genbank	Orthobunyavirus
9623	9604.0	2		Orthobunyavirus mpokoense	No entry in Genbank	Orthobunyavirus
9630	9611.0	2		Orthobunyavirus nyandoense	No entry in Genbank	Orthobunyavirus
9631	9612.0	3	L: KJ867202; M: KJ867201; S: KJ867200	Orthobunyavirus nyandoense	Complete genome	Orthobunyavirus
9634	9615.0	2		Orthobunyavirus olifantsvleiense	No entry in Genbank	Orthobunyavirus
9635	9616.0	3		Orthobunyavirus olifantsvleiense	No entry in Genbank	Orthobunyavirus
9636	9617.0	4		Orthobunyavirus olifantsvleiense	No entry in Genbank	Orthobunyavirus
9638	9619.0	2	L: MK896518; M: MK896517; S: MK896516	Orthobunyavirus oribocaense	Complete genome	Orthobunyavirus
9639	9620.0	3	L: MK896477; M: MK896476; S: MK896475	Orthobunyavirus oribocaense	Complete genome	Orthobunyavirus
